rank,organizationName,state,studentPopulation,campusSetting,medianBaseSalary,city,state,region,yearFounded,stateCode,collegeType,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
413,"University of Texas, El Paso",TX,29556,Urban,102200,El Paso,Texas,South,1914,TX,Public,21,29556,24745,24404586,88,82
414,University of Scranton,PA,6349,Urban,114800,Scranton,Pennsylvania,Northeast,1888,PA,Private not-for-profit,12,6349,4433,25538433,99,97
415,Point Loma Nazarene University,CA,5372,Urban,100100,San Diego,California,West,1902,CA,Private not-for-profit,15,5372,3502,10448586,94,91
416,University of Baltimore,MD,5198,Urban,94000,Baltimore,Maryland,Northeast,,MD,Public,13,5198,2493,230703,93,88
417,Iona College,NY,4155,Suburban,114900,New Rochelle,New York,Northeast,1940,NY,Private not-for-profit,15,4155,3331,15825557,100,100
418,Dominican University of California,CA,1980,Urban,95400,San Rafael,California,West,,CA,Private not-for-profit,10,1980,1539,7887065,78,78
419,Saint Peter's University,NJ,3788,Urban,113000,Jersey City,New Jersey,Northeast,,NJ,Private not-for-profit,13,3788,2685,13597241,100,99
420,Susquehanna University,PA,2348,Rural,113200,Selinsgrove,Pennsylvania,Northeast,1858,PA,Private not-for-profit,13,2348,2345,22342779,95,95
421,Molloy College,NY,8836,Suburban,97500,Rockville Centre,New York,Northeast,1955,NY,Private not-for-profit,10,8836,6473,10852396,99,97
422,Christopher Newport University,VA,5058,Urban,97200,Newport News,Virginia,South,1960,VA,Public,14,5058,4969,4688364,75,60
423,Taylor University,IN,2484,Rural,108000,Upland,Indiana,Midwest,1846,IN,Private not-for-profit,13,2484,2453,11049088,100,99
424,"University of Texas, Rio Grande Valley",TX,41681,Urban,87300,Edinburg,Texas,South,2013,TX,Public,21,41681,35593,43773269,95,92
425,Grand Valley State University,MI,26993,Suburban,91200,Allendale,Michigan,Midwest,1960,MI,Public,16,26993,23127,26398314,90,79
426,Ball State University,IN,25247,Urban,89700,Muncie,Indiana,Midwest,1918,IN,Public,14,25247,17636,37014896,90,76
426,Montana State University,MT,18756,Rural,104300,Bozeman,Montana,West,1893,MT,Public,17,18756,16214,18153533,92,91
428,Lewis University,IL,7612,Suburban,97400,Romeoville,Illinois,Midwest,1932,IL,Private not-for-profit,14,7612,4941,15288563,100,100
429,Principia College,IL,425,Rural,106100,Elsah,Illinois,Midwest,1912,IL,Private not-for-profit,5,425,425,1853786,98,98
430,Kennesaw State University,GA,44088,Suburban,103900,Kennesaw,Georgia,South,1963,GA,Public,22,44088,39961,35433870,92,89
431,East Carolina University,NC,31962,Urban,93100,Greenville,North Carolina,South,1907,NC,Public,19,31962,25249,20015077,81,64
432,University of New Mexico,NM,25420,Urban,104700,Albuquerque,New Mexico,West,1889,NM,Public,19,25420,18683,15803429,96,96
433,Menlo College,CA,935,Suburban,125000,Atherton,California,West,,CA,Private not-for-profit,17,935,935,8384028,98,98
434,Augustana College,IL,2611,Urban,104400,Rock Island,Illinois,Midwest,1860,IL,Private not-for-profit,11,2611,2591,21620676,100,100
435,La Salle University,PA,7082,Urban,116300,Philadelphia,Pennsylvania,Northeast,1863,PA,Private not-for-profit,13,7082,4116,15249334,98,96
436,Albion College,MI,1500,Rural,120300,Albion,Michigan,Midwest,1835,MI,Private not-for-profit,12,1500,1500,17907760,100,100
437,Louisiana Tech University,LA,12768,Rural,107300,Ruston,Louisiana,South,1894,LA,Public,23,12768,11268,22656637,99,98
438,St. Edward's University,TX,4324,Urban,109600,Austin,Texas,South,1878,TX,Private not-for-profit,14,4324,3615,21949918,98,98
439,Norwich University,VT,4792,Rural,112200,Northfield,Vermont,Northeast,1819,VT,Private not-for-profit,13,4792,3677,22375705,100,100
440,"CUNY, College of Staten Island",NY,15464,Urban,105100,Staten Island,New York,Northeast,1976,NY,Public,20,15464,14247,17331207,89,89
441,Berea College,KY,1707,Rural,77300,Berea,Kentucky,South,1855,KY,Private not-for-profit,9,1707,1707,20620440,100,100
442,Central Connecticut State University,CT,13046,Suburban,103000,New Britain,Connecticut,Northeast,,CT,Public,14,13046,10321,6927477,89,77
443,Stockton University,NJ,11925,Suburban,95700,Galloway,New Jersey,Northeast,1971,NJ,Public,18,11925,10727,12426745,91,80
444,SUNY Cortland,NY,7657,Rural,92200,Cortland,New York,Northeast,1868,NY,Public,16,7657,6923,6897909,85,69
445,Hillsdale College,MI,1685,Rural,,Hillsdale,Michigan,Midwest,1844,MI,Private not-for-profit,9,1685,1619,6921210,98,97
446,University of North Georgia,GA,23141,Rural,97200,Dahlonega,Georgia,South,2013,GA,Public,19,23141,22283,19065017,93,93
447,Wentworth Institute of Technology,MA,5456,Urban,121600,Boston,Massachusetts,Northeast,,MA,Private not-for-profit,16,5456,5290,14967728,100,100
448,Mount St. Mary's University (MD),MD,2649,Rural,108300,Emmitsburg,Maryland,Northeast,,MD,Private not-for-profit,14,2649,2084,15284025,100,100
449,John Brown University,AR,2749,Rural,87800,Siloam Springs,Arkansas,South,1919,AR,Private not-for-profit,14,2749,2066,6085158,100,100
450,Brigham Young University-Hawaii,HI,3583,Rural,109800,Laie,Hawaii,West,,HI,Private not-for-profit,16,3583,3583,2083561,79,71
451,University of Wisconsin-Platteville,WI,9403,Rural,106700,Platteville,Wisconsin,Midwest,,WI,Public,21,9403,8325,4078729,91,82
452,"St. John's College, Annapolis",MD,599,Suburban,120300,Annapolis,Maryland,Northeast,1784,MD,Private not-for-profit,7,599,500,2247971,98,93
453,University of Evansville,IN,2690,Urban,104700,Evansville,Indiana,Midwest,1854,IN,Private not-for-profit,10,2690,2355,12432628,100,100
454,Agnes Scott College,GA,1166,Suburban,91500,Decatur,Georgia,South,1889,GA,Private not-for-profit,11,1166,1081,10138800,100,100
455,University of South Dakota,SD,12276,Rural,93100,Vermillion,South Dakota,Midwest,1862,SD,Public,15,12276,9126,5109281,92,80
456,Goucher College,MD,2742,Urban,107100,Baltimore,Maryland,Northeast,1885,MD,Private not-for-profit,9,2742,1490,11492019,100,100
457,"Embry-Riddle Aeronautical University, Worldwide",FL,20829,Urban,100700,Daytona Beach,Florida,South,,FL,Private not-for-profit,20,20829,15867,284531,69,67
458,New Mexico State University,NM,16064,Suburban,103500,Las Cruces,New Mexico,West,1888,NM,Public,16,16064,12979,24554327,99,98
459,Wayne State University,MI,30841,Urban,99000,Detroit,Michigan,Midwest,1868,MI,Public,15,30841,20110,27353974,98,97
460,St. Mary's College of Maryland,MD,1611,Suburban,109900,St. Mary's City,Maryland,Northeast,1840,MD,Public,9,1611,1587,3144536,96,95
461,Saint Vincent College,PA,1878,Suburban,103900,Latrobe,Pennsylvania,Northeast,1846,PA,Private not-for-profit,11,1878,1637,10475019,100,100
462,"University of New Hampshire, Manchester",NH,1592,Urban,94100,Manchester,New Hampshire,Northeast,,NH,Public,10,1592,1206,728000,93,92
463,Wheaton College (MA),MA,1807,Suburban,107800,Norton,Massachusetts,Northeast,1834,MA,Private not-for-profit,11,1807,1807,18751218,100,99
464,Abilene Christian University,TX,6058,Urban,103100,Abilene,Texas,South,1906,TX,Private not-for-profit,13,6058,3755,20666643,100,100
465,CUNY Graduate School and University Center,NY,10413,Urban,,New York,New York,Northeast,,NY,Public,10,10413,3616,,,
466,"SUNY, College at Oneonta",NY,7907,Rural,96200,Oneonta,New York,Northeast,1889,NY,Public,16,7907,7334,8834537,87,68
467,Sarah Lawrence College,NY,1728,Suburban,121800,Bronxville,New York,Northeast,1926,NY,Private not-for-profit,10,1728,1483,10584525,82,81
468,Hamline University,MN,4597,Urban,110400,Saint Paul,Minnesota,Midwest,1854,MN,Private not-for-profit,13,4597,2219,16676249,100,100
469,Saint Mary's University of Minnesota,MN,6947,Rural,107100,Winona,Minnesota,Midwest,1912,MN,Private not-for-profit,18,6947,1603,8190224,100,100
470,Elizabethtown College,PA,2055,Suburban,98700,Elizabethtown,Pennsylvania,Northeast,1899,PA,Private not-for-profit,12,2055,1888,7077563,100,100
471,Christian Brothers University,TN,2296,Urban,107300,Memphis,Tennessee,South,1871,TN,Private not-for-profit,11,2296,1787,8996743,100,100
472,Old Dominion University,VA,28042,Urban,99200,Norfolk,Virginia,South,1930,VA,Public,18,28042,22182,22291745,93,93
473,Ohio Wesleyan University,OH,1695,Suburban,115500,Delaware,Ohio,Midwest,1842,OH,Private not-for-profit,10,1695,1695,13950957,100,100
474,Ursinus College,PA,1492,Suburban,123300,Collegeville,Pennsylvania,Northeast,1869,PA,Private not-for-profit,11,1492,1492,16488223,100,100
475,South Dakota School of Mines and Technology ,SD,3056,Urban,123600,Rapid City,South Dakota,Midwest,1885,SD,Public,13,3056,2622,2354818,95,88
476,Saint Michael's College,VT,2689,Suburban,111600,Colchester,Vermont,Northeast,1904,VT,Private not-for-profit,11,2689,1860,12255446,100,100
477,Lipscomb University,TN,5876,Urban,93800,Nashville,Tennessee,South,,TN,Private not-for-profit,14,5876,3478,13972720,99,99
478,St Bonaventure University,NY,2796,Rural,105400,St. Bonaventure,New York,Northeast,,NY,Private not-for-profit,12,2796,1861,13114300,99,99
479,University of Colorado Colorado Springs,CO,16715,Urban,105800,Colorado Springs,Colorado,West,,CO,Public,15,16715,14006,7710821,85,70
480,Georgia College & State University,GA,8039,Rural,87700,Milledgeville,Georgia,South,1889,GA,Public,16,8039,6483,11566304,97,96
481,University of Northern Iowa,IA,12137,Urban,92000,Cedar Falls,Iowa,Midwest,1876,IA,Public,17,12137,9872,5476289,83,74
482,"University of North Carolina, Greensboro",NC,22487,Urban,83100,Greensboro,North Carolina,,1891,,Public,16,22487,18332,17204309,87,67
483,Marymount University,VA,3971,Urban,107300,Arlington,Virginia,South,,VA,Private not-for-profit,14,3971,2541,9011567,97,97
484,Southern Illinois University Edwardsville,IL,15204,Suburban,97100,Edwardsville,Illinois,Midwest,1957,IL,Public,16,15204,11861,13237927,93,88
485,Sam Houston State University,TX,24116,Rural,98600,Huntsville,Texas,South,1879,TX,Public,21,24116,20652,18809118,88,74
486,Belmont University,TN,9023,Urban,86300,Nashville,Tennessee,South,1890,TN,Private not-for-profit,14,9023,7149,30492217,91,89
487,SUNY at Purchase College,NY,4677,Suburban,102400,Purchase,New York,Northeast,1967,NY,Public,12,4677,4568,6146830,84,72
488,The Juilliard School,NY,979,Urban,98100,New York,New York,Northeast,,NY,Private not-for-profit,5,979,605,3457694,92,91
489,Saint Francis University,PA,3822,Rural,96300,Loretto,Pennsylvania,Northeast,,PA,Private not-for-profit,14,3822,3076,9943380,100,100
490,College of Idaho,ID,1149,Suburban,113500,Caldwell,Idaho,West,1884,ID,Private not-for-profit,11,1149,1116,8702556,100,100
491,Loyola University New Orleans,LA,4972,Urban,102300,New Orleans,Louisiana,South,1904,LA,Private not-for-profit,13,4972,3538,26114959,99,99
492,Xavier University,OH,8079,Urban,104900,Cincinnati,Ohio,Midwest,1831,OH,Private not-for-profit,11,8079,5473,28294277,100,100
493,The University of Texas of the Permian Basin,TX,8667,Urban,97500,Odessa,Texas,South,1973,TX,Public,17,8667,7278,3631333,95,91
494,St. Joseph's College (NY),NY,5901,Urban,100900,Brooklyn,New York,Northeast,1916,NY,Private not-for-profit,12,5901,4429,11919881,99,99
495,Moravian University,PA,2961,Urban,109800,Bethlehem,Pennsylvania,Northeast,1742,PA,Private not-for-profit,11,2961,2268,12685943,100,100
496,Lawrence Technological University,MI,3163,Urban,119900,Southfield,Michigan,Midwest,,MI,Private not-for-profit,11,3163,2286,5639254,97,96
497,Saint Martin's University,WA,1980,Urban,102100,Lacey,Washington,West,,WA,Private not-for-profit,12,1980,1644,9759540,99,99
498,University of Memphis,TN,25128,Urban,90700,Memphis,Tennessee,South,1912,TN,Public,16,25128,20011,27575189,98,97
