rank,organizationName,state,studentPopulation,campusSetting,medianBaseSalary,city,state,region,yearFounded,stateCode,collegeType,studentFacultyRatio,totalStudentPop,undergradPop,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
161,University of South Carolina,SC,38526,Urban,98400,Columbia,South Carolina,South,1801,SC,Public,18,38526,29221,39099419,94,92
162,Trinity University (TX),TX,2843,Urban,120000,San Antonio,Texas,South,1869,TX,Private not-for-profit,9,2843,2624,18864897,99,99
163,University of Vermont,VT,15903,Urban,109700,Burlington,Vermont,Northeast,1791,VT,Public,16,15903,13499,46200374,96,95
164,Baylor University,TX,19632,Urban,116500,Waco,Texas,South,1845,TX,Private not-for-profit,15,19632,14614,77376398,95,93
165,University of Kansas,KS,30983,Urban,109100,Lawrence,Kansas,Midwest,1865,KS,Public,17,30983,21552,32208701,85,76
166,"California State University, Northridge",CA,42736,Urban,108200,Northridge,California,West,1958,CA,Public,28,42736,36736,42996701,87,83
167,Furman University,SC,2919,Suburban,111700,Greenville,South Carolina,South,1826,SC,Private not-for-profit,9,2919,2743,17945322,94,93
168,Drexel University,PA,27720,Urban,124200,Philadelphia,Pennsylvania,Northeast,1891,PA,Private not-for-profit,11,27720,17108,96187904,100,100
169,Bentley University,MA,5579,Urban,134400,Waltham,Massachusetts,Northeast,1917,MA,Private not-for-profit,11,5579,4366,21189139,85,78
170,"California State University, Fresno",CA,26592,Urban,108300,Fresno,California,West,1911,CA,Public,23,26592,23528,29634510,88,84
171,Illinois Institute of Technology,IL,7261,Urban,134400,Chicago,Illinois,Midwest,1890,IL,Private not-for-profit,10,7261,3402,21734418,100,100
172,"CUNY, Queens College",NY,24126,Urban,105100,Queens,New York,Northeast,1937,NY,Public,17,24126,20521,17745820,91,90
173,Ohio State University,OH,66017,Urban,109200,Columbus,Ohio,Midwest,1870,OH,Public,19,66017,49971,66366116,84,77
174,Union College (NY),NY,2220,Urban,140400,Schenectady,New York,Northeast,1795,NY,Private not-for-profit,9,2220,2220,15687185,89,88
175,University of Tulsa,OK,4546,Urban,118100,Tulsa,Oklahoma,South,1894,OK,Private not-for-profit,10,4546,3374,27921673,99,99
176,Kenyon College,OH,1832,Rural,126500,Gambier,Ohio,Midwest,1824,OH,Private not-for-profit,9,1832,1832,11656060,74,71
177,Rensselaer Polytechnic Institute,NY,8256,Urban,148200,Troy,New York,Northeast,1824,NY,Private not-for-profit,17,8256,6888,48771095,88,88
178,Rose-Hulman Institute of Technology,IN,2067,Urban,151800,Terre Haute,Indiana,Midwest,1874,IN,Private not-for-profit,10,2067,2022,13221482,99,98
179,Pepperdine University,CA,10579,Suburban,115000,Malibu,California,West,1937,CA,Private not-for-profit,13,10579,3861,19903186,96,96
180,Fashion Institute of Technology,NY,9869,Urban,116200,New York,New York,Northeast,,NY,Public,17,9869,9628,6118795,73,52
181,Denison University,OH,2432,Suburban,125300,Granville,Ohio,Midwest,1831,OH,Private not-for-profit,9,2432,2432,18385899,99,99
182,Dickinson College,PA,2226,Urban,113000,Carlisle,Pennsylvania,Northeast,1773,PA,Private not-for-profit,8,2226,2217,13409893,83,81
183,Kalamazoo College,MI,1510,Urban,112800,Kalamazoo,Michigan,Midwest,1833,MI,Private not-for-profit,13,1510,1510,14195248,100,99
184,University of Nevada-Reno,NV,23692,Urban,106900,Reno,Nevada,West,1874,NV,Public,17,23692,19231,22380280,92,88
185,College of New Jersey,NJ,8943,Suburban,114200,Ewing,New Jersey,Northeast,1855,NJ,Public,13,8943,7596,8833028,82,51
186,Elon University,NC,7424,Suburban,105200,Elon,North Carolina,South,1889,NC,Private not-for-profit,13,7424,6458,14736683,73,68
187,Pitzer College,CA,1111,Suburban,112500,Claremont,California,West,1963,CA,Private not-for-profit,9,1111,1111,4513364,40,36
188,Worcester Polytechnic Institute,MA,7654,Urban,151200,Worcester,Massachusetts,Northeast,1865,MA,Private not-for-profit,13,7654,5165,28031500,100,99
189,University of Arkansas,AR,30137,Urban,108700,Fayetteville,Arkansas,South,1871,AR,Public,19,30137,24838,21855127,87,84
190,University of Portland,OR,4766,Urban,117300,Portland,Oregon,West,1901,OR,Private not-for-profit,11,4766,4087,26890105,99,99
191,Washington State University,WA,35394,Rural,114500,Pullman,Washington,West,1890,WA,Public,16,35394,28930,38822168,92,87
192,University of Dayton,OH,12544,Urban,117800,Dayton,Ohio,Midwest,1850,OH,Private not-for-profit,15,12544,8750,54876592,97,95
193,"University of Washington, Tacoma Campus",WA,6304,Urban,100400,Tacoma,Washington,West,,WA,Public,14,6304,5372,5666469,84,75
194,Connecticut College,CT,1928,Urban,120700,New London,Connecticut,Northeast,1911,CT,Private not-for-profit,9,1928,1928,16751060,98,97
